cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-surface,stem-color,has-ring,ring-type,habitat,season
5.43,20.25,ring-type,4.24,,does f,,20.44,6.4,19.49,,,,,,
7.82,3.52,does-bruise-or-bleed,17.19,,28.7,,8.37,9.29,2.94,,,,,,
7.16,3.04,4.93,3.34,,13.15,,,6.91,10.49,,,,,,
3.77,2.63,spore-print-color,7,,1.37,,,6.43,10.71,,,,,,
3.73,3.91,spore-color,2.9,,28.15,,,4.37,7.13,,,,,,
4.24,6.44,2.92,6.36,,7.09,,,4.42,8.0,,,,,,
5.23,8.3,2.51,5.91,,9.88,,,12.28,5.81,,,,,,
3.38,7.6,7.99,10.56,,2.67,,,6.19,6.4,,,,,,
3.1,17.44,is y,26.89,,18.21,,,4.77,10.56,,,,,,
9.82,4.33,3.64,4. n,,1.48,,,4.24,1.01,,,,,,
9.6,2.82,3.33,20.62,,5.93,,,8.57,29.42,,,,,,
9.57,6.53,41.91,stem-surface,,1.51,,,4.82,9.12,,,,,,
8.0,19.06,12.2,20.02,,16.27,,,12.07,8.58,,,,,,
7.24,,8.01,20,,11.26,,,5.87,8.99,,,,,,
12.56,,9.22,25.98,,2.79,,,8.75,14.81,,,,,,
7.93,,1.14,8.67,,is f,,,11.0,23.77,,,,,,
14.84,,6.49,9.02,,13.94,,,18.28,18.09,,,,,,
1.65,,10.34,,,,,,2.11,2.44,,,,,,
1.66,,10.1,,,,,,6.42,2.49,,,,,,
1.48,,1.08,,,,,,4.73,1.46,,,,,,
9.37,,is k,,,,,,11.11,32.22,,,,,,
12.52,,0.87,,,,,,11.06,14.96,,,,,,
7.32,,,,,,,,3.71,6.97,,,,,,
1.42,,,,,,,,5.69,1.55,,,,,,
0.72,,,,,,,,0.0,0.84,,,,,,
6.89,,,,,,,,4.9,16.87,,,,,,
4.6,,,,,,,,9.96,0.0,,,,,,
1.62,,,,,,,,5.24,1.97,,,,,,
10.84,,,,,,,,13.55,24.34,,,,,,
0.86,,,,,,,,10.52,0.98,,,,,,
16.98,,,,,,,,5.19,23.19,,,,,,
7.06,,,,,,,,8.61,14.71,,,,,,
9.61,,,,,,,,7.52,13.14,,,,,,
8.43,,,,,,,,3.83,7.86,,,,,,
6.96,,,,,,,,17.3,15.06,,,,,,
2.86,,,,,,,,4.34,2.48,,,,,,
13.71,,,,,,,,8.79,16.89,,,,,,
1.54,,,,,,,,5.64,1.35,,,,,,
10.19,,,,,,,,7.65,22.86,,,,,,
11.45,,,,,,,,19.38,16.96,,,,,,
10.16,,,,,,,,7.03,15.23,,,,,,
7.35,,,,,,,,6.09,19.79,,,,,,
9.12,,,,,,,,8.22,14.74,,,,,,
8.59,,,,,,,,3.31,5.28,,,,,,
3.48,,,,,,,,7.8,9.85,,,,,,
6.44,,,,,,,,6.22,1.82,,,,,,
1.38,,,,,,,,9.74,1.28,,,,,,
1.23,,,,,,,,4.49,3.96,,,,,,
1.04,,,,,,,,9.37,1.68,,,,,,
2.23,,,,,,,,4.99,3.54,,,,,,
2.24,,,,,,,,13.52,2.89,,,,,,
3.83,,,,,,,,5.15,5.02,,,,,,
13.16,,,,,,,,11.79,17.45,,,,,,
3.17,,,,,,,,5.17,1.64,,,,,,
3.22,,,,,,,,4.71,5.86,,,,,,
6.24,,,,,,,,2.89,6.38,,,,,,
7.23,,,,,,,,5.6,8.07,,,,,,
13.21,,,,,,,,7.04,1.5,,,,,,
3.84,,,,,,,,2.99,7.29,,,,,,
9.77,,,,,,,,8.54,18.01,,,,,,
7.9,,,,,,,,7.19,5.25,,,,,,
0.97,,,,,,,,6.69,20.01,,,,,,
3.26,,,,,,,,8.66,1.53,,,,,,
6.35,,,,,,,,7.35,4.53,,,,,,
7.31,,,,,,,,12.08,10.43,,,,,,
5.79,,,,,,,,5.83,9.6,,,,,,
8.47,,,,,,,,7.42,6.07,,,,,,
4.38,,,,,,,,3.54,10.58,,,,,,
4.17,,,,,,,,1.54,7.66,,,,,,
4.01,,,,,,,,13.14,3.86,,,,,,
6.83,,,,,,,,7.92,6.43,,,,,,
5.83,,,,,,,,10.57,8.85,,,,,,
8.31,,,,,,,,4.22,7.06,,,,,,
0.7,,,,,,,,3.75,2.4,,,,,,
7.83,,,,,,,,4.25,0.79,,,,,,
5.35,,,,,,,,6.26,15.2,,,,,,
11.07,,,,,,,,4.48,18.36,,,,,,
5.97,,,,,,,,5.5,17.75,,,,,,
3.62,,,,,,,,5.31,12.15,,,,,,
8.41,,,,,,,,5.58,3.11,,,,,,
0.81,,,,,,,,5.76,12.64,,,,,,
2.05,,,,,,,,5.46,0.82,,,,,,
3.65,,,,,,,,8.16,22.13,,,,,,
17.97,,,,,,,,9.25,4.46,,,,,,
5.09,,,,,,,,6.8,29.07,,,,,,
5.73,,,,,,,,11.34,3.19,,,,,,
7.88,,,,,,,,7.86,10.51,,,,,,
7.25,,,,,,,,2.59,15.29,,,,,,
5.48,,,,,,,,11.25,16.78,,,,,,
8.01,,,,,,,,6.36,6.0,,,,,,
3.08,,,,,,,,10.69,7.42,,,,,,
8.95,,,,,,,,2.58,22.92,,,,,,
10.43,,,,,,,,3.89,2.6,,,,,,
9.32,,,,,,,,8.1,9.89,,,,,,
9.74,,,,,,,,4.52,16.43,,,,,,
12.95,,,,,,,,17.87,32.37,,,,,,
11.95,,,,,,,,12.51,14.27,,,,,,
11.9,,,,,,,,8.97,14.45,,,,,,
1.73,,,,,,,,6.66,17.56,,,,,,
1.02,,,,,,,,9.89,31.64,,,,,,
3.15,,,,,,,,3.88,2.81,,,,,,
9.43,,,,,,,,4.98,2.51,,,,,,
3.7,,,,,,,,5.27,5.93,,,,,,
14.8,,,,,,,,13.28,12.98,,,,,,
6.58,,,,,,,,10.85,6.82,,,,,,
11.0,,,,,,,,4.87,17.93,,,,,,
7.67,,,,,,,,5.61,11.89,,,,,,
8.91,,,,,,,,6.1,22.49,,,,,,
2.49,,,,,,,,12.91,9.82,,,,,,
9.49,,,,,,,,16.71,17.06,,,,,,
0.82,,,,,,,,5.32,2.47,,,,,,
14.08,,,,,,,,6.03,30.94,,,,,,
6.21,,,,,,,,2.76,1.06,,,,,,
1.61,,,,,,,,9.05,28.66,,,,,,
8.34,,,,,,,,2.46,9.71,,,,,,
6.41,,,,,,,,8.07,12.45,,,,,,
6.95,,,,,,,,5.52,23.38,,,,,,
4.07,,,,,,,,15.14,13.59,,,,,,
7.14,,,,,,,,5.97,6.56,,,,,,
14.79,,,,,,,,7.69,17.11,,,,,,
6.75,,,,,,,,8.27,17.28,,,,,,
1.49,,,,,,,,11.2,7.1,,,,,,
1.41,,,,,,,,7.98,2.01,,,,,,
11.11,,,,,,,,10.71,1.54,,,,,,
10.75,,,,,,,,5.51,14.49,,,,,,
7.98,,,,,,,,10.09,27.8,,,,,,
7.95,,,,,,,,13.42,17.27,,,,,,
3.01,,,,,,,,5.22,17.52,,,,,,
13.53,,,,,,,,7.07,4.24,,,,,,
10.1,,,,,,,,13.7,10.72,,,,,,
4.16,,,,,,,,6.55,17.57,,,,,,
13.26,,,,,,,,10.55,13.96,,,,,,
8.14,,,,,,,,5.68,28.15,,,,,,
9.3,,,,,,,,6.23,6.65,,,,,,
3.41,,,,,,,,7.31,18.16,,,,,,
3.18,,,,,,,,5.78,18.11,,,,,,
4.19,,,,,,,,3.49,7.23,,,,,,
2.35,,,,,,,,10.76,41.22,,,,,,
6.57,,,,,,,,10.91,2.7,,,,,,
10.86,,,,,,,,7.34,21.15,,,,,,
7.91,,,,,,,,3.62,24.2,,,,,,
8.44,,,,,,,,6.12,18.12,,,,,,
3.04,,,,,,,,4.56,15.98,,,,,,
9.71,,,,,,,,7.83,2.55,,,,,,
14.26,,,,,,,,8.45,19.33,,,,,,
8.23,,,,,,,,5.94,32.04,,,,,,
5.03,,,,,,,,8.49,10.16,,,,,,
3.92,,,,,,,,20.44,13.22,,,,,,
1.4,,,,,,,,3.92,7.92,,,,,,
4.43,,,,,,,,16.77,29.97,,,,,,
6.33,,,,,,,,7.95,5.92,,,,,,
9.4,,,,,,,,6.76,1.57,,,,,,
3.05,,,,,,,,5.92,27.48,,,,,,
3.54,,,,,,,,4.74,10.12,,,,,,
5.28,,,,,,,,7.26,18.93,,,,,,
1.53,,,,,,,,10.67,6.33,,,,,,
7.41,,,,,,,,8.55,8.4,,,,,,
3.07,,,,,,,,8.5,1.47,,,,,,
8.53,,,,,,,,5.54,5.39,,,,,,
14.33,,,,,,,,3.05,2.38,,,,,,
7.07,,,,,,,,7.28,10.66,,,,,,
8.03,,,,,,,,12.86,21.63,,,,,,
13.63,,,,,,,,3.03,15.7,,,,,,
8.15,,,,,,,,4.61,12.91,,,,,,
2.3,,,,,,,,4.53,3.55,,,,,,
6.1,,,,,,,,6.15,11.99,,,,,,
7.75,,,,,,,,9.82,19.87,,,,,,
1.64,,,,,,,,8.74,2.97,,,,,,
20.55,,,,,,,,3.64,7.63,,,,,,
9.54,,,,,,,,3.46,6.61,,,,,,
6.23,,,,,,,,5.2,11.83,,,,,,
7.77,,,,,,,,4.88,1.94,,,,,,
0.94,,,,,,,,4.94,46.38,,,,,,
7.27,,,,,,,,11.77,17.44,,,,,,
6.4,,,,,,,,10.78,3.98,,,,,,
12.11,,,,,,,,4.26,10.24,,,,,,
6.51,,,,,,,,3.22,12.85,,,,,,
1.3,,,,,,,,4.67,2.34,,,,,,
0.53,,,,,,,,7.67,12.62,,,,,,
1.22,,,,,,,,10.61,8.1,,,,,,
1.2,,,,,,,,11.27,8.21,,,,,,
5.82,,,,,,,,8.15,17.54,,,,,,
5.66,,,,,,,,5.67,13.01,,,,,,
11.94,,,,,,,,5.28,0.75,,,,,,
6.34,,,,,,,,4.6,2.5,,,,,,
3.66,,,,,,,,7.81,19.91,,,,,,
5.22,,,,,,,,3.51,12.01,,,,,,
8.32,,,,,,,,4.57,14.69,,,,,,
3.35,,,,,,,,4.89,3.33,,,,,,
9.5,,,,,,,,4.7,14.51,,,,,,
5.4,,,,,,,,6.7,10.25,,,,,,
9.16,,,,,,,,8.37,1.52,,,,,,
7.01,,,,,,,,10.06,6.7,,,,,,
3.11,,,,,,,,3.42,8.7,,,,,,
4.04,,,,,,,,4.2,16.19,,,,,,
10.2,,,,,,,,8.4,3.46,,,,,,
7.52,,,,,,,,10.0,13.19,,,,,,
1.43,,,,,,,,7.08,14.25,,,,,,
13.25,,,,,,,,7.16,16.92,,,,,,
4.32,,,,,,,,3.55,9.99,,,,,,
3.49,,,,,,,,5.18,6.93,,,,,,
9.66,,,,,,,,4.54,12.97,,,,,,
3.9,,,,,,,,4.93,3.77,,,,,,
2.73,,,,,,,,3.45,1.25,,,,,,
3.57,,,,,,,,5.75,15.77,,,,,,
2.98,,,,,,,,3.32,2.58,,,,,,
7.15,,,,,,,,3.53,17.53,,,,,,
6.56,,,,,,,,9.84,5.33,,,,,,
8.28,,,,,,,,6.95,12.48,,,,,,
8.1,,,,,,,,4.84,2.45,,,,,,
7.72,,,,,,,,8.11,31.15,,,,,,
7.08,,,,,,,,9.33,6.54,,,,,,
7.02,,,,,,,,5.39,13.05,,,,,,
5.47,,,,,,,,6.25,4.09,,,,,,
4.45,,,,,,,,6.88,2.64,,,,,,
8.39,,,,,,,,3.04,15.36,,,,,,
10.98,,,,,,,,5.53,11.28,,,,,,
8.02,,,,,,,,4.75,19.34,,,,,,
4.78,,,,,,,,6.2,29.57,,,,,,
8.78,,,,,,,,8.46,9.58,,,,,,
5.34,,,,,,,,5.95,2.99,,,,,,
4.66,,,,,,,,3.27,11.92,,,,,,
4.22,,,,,,,,8.53,13.51,,,,,,
2.29,,,,,,,,5.4,4.81,,,,,,
5.69,,,,,,,,7.82,12.44,,,,,,
0.58,,,,,,,,6.0,5.88,,,,,,
2.93,,,,,,,,5.13,10.8,,,,,,
4.1,,,,,,,,2.32,28.53,,,,,,
1.79,,,,,,,,9.22,12.89,,,,,,
9.28,,,,,,,,10.94,19.56,,,,,,
5.88,,,,,,,,3.23,7.36,,,,,,
4.12,,,,,,,,6.49,27.04,,,,,,
19.33,,,,,,,,3.12,6.6,,,,,,
2.71,,,,,,,,4.32,6.85,,,,,,
6.54,,,,,,,,7.57,5.36,,,,,,
1.0,,,,,,,,3.91,11.87,,,,,,
1.59,,,,,,,,8.33,0.91,,,,,,
8.79,,,,,,,,5.3,29.34,,,,,,
11.18,,,,,,,,2.57,11.42,,,,,,
2.69,,,,,,,,9.02,12.75,,,,,,
0.78,,,,,,,,6.01,10.22,,,,,,
1.45,,,,,,,,6.75,4.66,,,,,,
3.71,,,,,,,,6.72,0.8,,,,,,
7.12,,,,,,,,7.68,5.71,,,,,,
8.54,,,,,,,,6.14,23.64,,,,,,
7.54,,,,,,,,6.31,7.52,,,,,,
14.41,,,,,,,,3.07,4.3,,,,,,
3.19,,,,,,,,5.89,14.4,,,,,,
7.28,,,,,,,,4.55,8.95,,,,,,
3.8,,,,,,,,6.73,11.43,,,,,,
5.11,,,,,,,,7.53,5.52,,,,,,
2.51,,,,,,,,6.32,1.58,,,,,,
8.77,,,,,,,,7.97,15.42,,,,,,
4.83,,,,,,,,7.71,12.42,,,,,,
5.16,,,,,,,,3.33,5.78,,,,,,
6.88,,,,,,,,4.81,3.28,,,,,,
5.68,,,,,,,,7.33,5.77,,,,,,
1.96,,,,,,,,7.23,2.28,,,,,,
6.28,,,,,,,,5.43,6.23,,,,,,
3.32,,,,,,,,3.24,1.45,,,,,,
6.12,,,,,,,,6.62,1.51,,,,,,
9.2,,,,,,,,3.6,3.89,,,,,,
3.61,,,,,,,,16.92,15.43,,,,,,
12.23,,,,,,,,9.0,9.27,,,,,,
8.42,,,,,,,,4.21,20.21,,,,,,
3.31,,,,,,,,10.04,9.56,,,,,,
16.15,,,,,,,,4.76,4.56,,,,,,
6.32,,,,,,,,7.63,16.08,,,,,,
6.86,,,,,,,,5.74,8.12,,,,,,
8.45,,,,,,,,6.54,5.83,,,,,,
2.91,,,,,,,,10.83,2.43,,,,,,
1.55,,,,,,,,6.16,10.28,,,,,,
6.78,,,,,,,,12.44,12.7,,,,,,
0.96,,,,,,,,7.84,11.86,,,,,,
7.47,,,,,,,,6.11,11.79,,,,,,
7.22,,,,,,,,9.48,24.14,,,,,,
1.13,,,,,,,,6.61,8.15,,,,,,
3.14,,,,,,,,5.98,7.27,,,,,,
5.52,,,,,,,,3.28,6.77,,,,,,
3.52,,,,,,,,7.0,14.42,,,,,,
2.54,,,,,,,,4.85,4.06,,,,,,
0.69,,,,,,,,4.23,23.62,,,,,,
15.02,,,,,,,,5.06,16.2,,,,,,
8.17,,,,,,,,8.71,4.97,,,,,,
10.94,,,,,,,,21.17,22.62,,,,,,
2.28,,,,,,,,4.68,17.64,,,,,,
8.21,,,,,,,,5.85,8.3,,,,,,
1.24,,,,,,,,2.12,6.84,,,,,,
15.98,,,,,,,,1.46,16.26,,,,,,
10.76,,,,,,,,5.16,3.51,,,,,,
12.89,,,,,,,,5.02,1.66,,,,,,
6.25,,,,,,,,11.65,18.02,,,,,,
5.53,,,,,,,,7.38,10.47,,,,,,
5.78,,,,,,,,4.27,9.98,,,,,,
4.98,,,,,,,,12.2,23.16,,,,,,
12.98,,,,,,,,10.32,17.76,,,,,,
5.62,,,,,,,,6.28,2.56,,,,,,
1.51,,,,,,,,1.55,2.37,,,,,,
10.47,,,,,,,,16.05,15.16,,,,,,
9.8,,,,,,,,5.88,4.89,,,,,,
5.57,,,,,,,,6.18,0.77,,,,,,
4.77,,,,,,,,4.17,16.01,,,,,,
1.74,,,,,,,,4.95,17.33,,,,,,
1.28,,,,,,,,2.13,22.6,,,,,,
9.0,,,,,,,,6.79,3.37,,,,,,
1.52,,,,,,,,9.36,2.07,,,,,,
5.24,,,,,,,,6.47,12.29,,,,,,
5.37,,,,,,,,10.66,15.18,,,,,,
5.99,,,,,,,,4.35,9.54,,,,,,
4.14,,,,,,,,3.39,21.66,,,,,,
11.16,,,,,,,,2.2,10.81,,,,,,
7.68,,,,,,,,7.32,11.35,,,,,,
17.61,,,,,,,,4.91,12.23,,,,,,
5.96,,,,,,,,4.39,16.45,,,,,,
3.74,,,,,,,,13.71,17.97,,,,,,
4.82,,,,,,,,3.02,20.71,,,,,,
7.92,,,,,,,,2.56,2.25,,,,,,
10.03,,,,,,,,16.25,24.21,,,,,,
3.36,,,,,,,,4.86,23.91,,,,,,
6.29,,,,,,,,3.9,15.86,,,,,,
3.99,,,,,,,,11.07,9.43,,,,,,
2.97,,,,,,,,10.98,40.02,,,,,,
9.59,,,,,,,,6.82,2.53,,,,,,
6.38,,,,,,,,9.16,14.13,,,,,,
8.65,,,,,,,,7.6,18.6,,,,,,
4.26,,,,,,,,5.49,9.36,,,,,,
2.88,,,,,,,,6.04,12.54,,,,,,
4.61,,,,,,,,8.19,9.96,,,,,,
10.23,,,,,,,,10.19,27.02,,,,,,
7.86,,,,,,,,2.77,13.77,,,,,,
9.34,,,,,,,,10.34,1.99,,,,,,
4.73,,,,,,,,7.46,13.8,,,,,,
15.74,,,,,,,,6.48,16.56,,,,,,
6.37,,,,,,,,11.32,16.79,,,,,,
8.36,,,,,,,,3.77,11.5,,,,,,
8.74,,,,,,,,5.63,4.68,,,,,,
2.61,,,,,,,,8.01,2.77,,,,,,
3.95,,,,,,,,8.2,7.38,,,,,,
7.05,,,,,,,,7.61,14.97,,,,,,
2.27,,,,,,,,7.4,21.17,,,,,,
7.26,,,,,,,,3.8,7.45,,,,,,
7.59,,,,,,,,9.99,7.54,,,,,,
7.57,,,,,,,,5.47,10.32,,,,,,
6.05,,,,,,,,12.87,3.06,,,,,,
13.14,,,,,,,,3.82,6.05,,,,,,
1.36,,,,,,,,6.17,5.65,,,,,,
9.18,,,,,,,,9.03,25.66,,,,,,
4.8,,,,,,,,4.07,20.48,,,,,,
1.85,,,,,,,,2.23,13.09,,,,,,
7.51,,,,,,,,8.65,11.64,,,,,,
2.76,,,,,,,,6.83,17.94,,,,,,
2.41,,,,,,,,13.2,9.65,,,,,,
1.8,,,,,,,,4.08,4.83,,,,,,
4.7,,,,,,,,6.38,33.82,,,,,,
10.12,,,,,,,,7.56,16.73,,,,,,
11.79,,,,,,,,4.19,17.6,,,,,,
4.64,,,,,,,,6.96,25.4,,,,,,
2.0,,,,,,,,12.22,20.51,,,,,,
4.52,,,,,,,,4.46,7.59,,,,,,
5.89,,,,,,,,6.07,21.06,,,,,,
6.26,,,,,,,,4.15,2.54,,,,,,
7.99,,,,,,,,4.31,29.75,,,,,,
5.29,,,,,,,,2.91,2.95,,,,,,
4.46,,,,,,,,3.74,10.02,,,,,,
4.91,,,,,,,,9.04,13.31,,,,,,
4.03,,,,,,,,3.21,2.59,,,,,,
4.86,,,,,,,,8.73,24.42,,,,,,
9.83,,,,,,,,16.78,18.54,,,,,,
6.97,,,,,,,,4.05,2.52,,,,,,
0.56,,,,,,,,6.3,6.41,,,,,,
15.82,,,,,,,,7.51,11.15,,,,,,
3.85,,,,,,,,4.13,12.78,,,,,,
2.48,,,,,,,,5.05,1.32,,,,,,
5.64,,,,,,,,4.69,3.08,,,,,,
4.63,,,,,,,,5.71,23.73,,,,,,
2.95,,,,,,,,11.4,24.05,,,,,,
10.58,,,,,,,,13.13,15.8,,,,,,
10.53,,,,,,,,11.19,5.14,,,,,,
8.56,,,,,,,,3.58,10.04,,,,,,
5.45,,,,,,,,7.79,32.26,,,,,,
4.5,,,,,,,,8.04,21.33,,,,,,
3.45,,,,,,,,3.79,2.09,,,,,,
13.23,,,,,,,,5.26,6.16,,,,,,
4.08,,,,,,,,9.79,8.83,,,,,,
4.96,,,,,,,,10.7,14.64,,,,,,
7.63,,,,,,,,8.95,16.09,,,,,,
10.07,,,,,,,,7.11,13.57,,,,,,
10.45,,,,,,,,4.72,17.24,,,,,,
12.25,,,,,,,,3.7,7.09,,,,,,
2.7,,,,,,,,10.41,5.75,,,,,,
3.23,,,,,,,,5.84,2.08,,,,,,
6.01,,,,,,,,11.23,6.27,,,,,,
5.38,,,,,,,,2.81,28.7,,,,,,
4.18,,,,,,,,9.51,12.61,,,,,,
3.34,,,,,,,,10.2,18.39,,,,,,
4.05,,,,,,,,10.8,7.74,,,,,,
5.75,,,,,,,,5.09,12.43,,,,,,
7.56,,,,,,,,14.73,19.88,,,,,,
2.11,,,,,,,,9.67,5.61,,,,,,
7.53,,,,,,,,7.15,7.44,,,,,,
2.81,,,,,,,,8.63,9.59,,,,,,
6.43,,,,,,,,8.68,4.43,,,,,,
9.94,,,,,,,,4.38,9.52,,,,,,
8.4,,,,,,,,6.45,19.31,,,,,,
7.85,,,,,,,,5.07,6.8,,,,,,
5.87,,,,,,,,13.37,18.35,,,,,,
4.72,,,,,,,,2.38,5.24,,,,,,
4.65,,,,,,,,17.32,29.39,,,,,,
6.14,,,,,,,,11.03,9.19,,,,,,
11.88,,,,,,,,5.14,19.28,,,,,,
8.57,,,,,,,,5.62,6.86,,,,,,
51.27,,,,,,,,5.12,3.57,,,,,,
5.54,,,,,,,,11.05,22.48,,,,,,
1.5,,,,,,,,3.13,22.65,,,,,,
2.32,,,,,,,,8.23,7.83,,,,,,
1.39,,,,,,,,5.9,57.21,,,,,,
9.04,,,,,,,,3.59,16.68,,,,,,
3.29,,,,,,,,7.27,7.07,,,,,,
11.08,,,,,,,,3.73,5.87,,,,,,
12.1,,,,,,,,8.91,6.67,,,,,,
8.16,,,,,,,,11.31,25.75,,,,,,
12.32,,,,,,,,12.32,6.42,,,,,,
4.53,,,,,,,,1.59,11.37,,,,,,
2.67,,,,,,,,3.18,21.97,,,,,,
5.46,,,,,,,,2.6,8.34,,,,,,
13.45,,,,,,,,7.05,6.11,,,,,,
10.24,,,,,,,,6.53,17.72,,,,,,
6.6,,,,,,,,10.22,26.89,,,,,,
12.4,,,,,,,,5.93,13.69,,,,,,
4.48,,,,,,,,6.08,24.76,,,,,,
